date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,result_IRM,bib
2024-08-07T09:12:08+02:00,TKWM58KG--------------R32-000100--,TKWM58KG,Men -58kg,Men -58kg Qualification Contest,Qualification Contest,FINISHED,M,Taekwondo,TKW,Grand Palais,1560166,DIOP Bocar,Person,SEN,Senegal,0,POINTS,L,,216
2024-08-07T09:12:08+02:00,TKWM58KG--------------R32-000100--,TKWM58KG,Men -58kg,Men -58kg Qualification Contest,Qualification Contest,FINISHED,M,Taekwondo,TKW,Grand Palais,1956376,KORNEEV Lev,Person,SRB,Serbia,2,POINTS,W,,217
2024-08-07T09:38:27+02:00,TKWM58KG--------------R32-000200--,TKWM58KG,Men -58kg,Men -58kg Qualification Contest,Qualification Contest,FINISHED,M,Taekwondo,TKW,Grand Palais,1932149,YASER ISMAIL Omar,Person,PLE,Palestine,2,POINTS,W,,215
2024-08-07T09:38:27+02:00,TKWM58KG--------------R32-000200--,TKWM58KG,Men -58kg,Men -58kg Qualification Contest,Qualification Contest,FINISHED,M,Taekwondo,TKW,Grand Palais,1894548,TIRANVALIPOUR Hadi,Person,EOR,EOR,0,POINTS,L,,218
2024-08-07T10:07:50+02:00,TKWM58KG--------------8FNL000100--,TKWM58KG,Men -58kg,Men -58kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1919675,GURTSIEV Georgiy,Person,AIN,AIN,0,POINTS,L,,213
2024-08-07T10:07:50+02:00,TKWM58KG--------------8FNL000100--,TKWM58KG,Men -58kg,Men -58kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1893274,RAVET Cyrian,Person,FRA,France,2,POINTS,W,,204
2024-08-07T10:32:39+02:00,TKWM58KG--------------8FNL000200--,TKWM58KG,Men -58kg,Men -58kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1904040,PARK Taejoon,Person,KOR,Korea,2,POINTS,W,,205
2024-08-07T10:32:39+02:00,TKWM58KG--------------8FNL000200--,TKWM58KG,Men -58kg,Men -58kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1925942,GRANADO Yohandri,Person,VEN,Venezuela,0,POINTS,L,,212
2024-08-07T11:12:30+02:00,TKWM58KG--------------8FNL000300--,TKWM58KG,Men -58kg,Men -58kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1555541,ISSAKA GARBA Nouridine,Person,NIG,Niger,0,POINTS,L,,209
2024-08-07T11:12:30+02:00,TKWM58KG--------------8FNL000300--,TKWM58KG,Men -58kg,Men -58kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1946334,LEWIS Bailey,Person,AUS,Australia,2,POINTS,W,,208
2024-08-07T11:35:03+02:00,TKWM58KG--------------8FNL000400--,TKWM58KG,Men -58kg,Men -58kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1947736,JENDOUBI Mohamed Khalil,Person,TUN,Tunisia,2,POINTS,W,,201
2024-08-07T11:35:03+02:00,TKWM58KG--------------8FNL000400--,TKWM58KG,Men -58kg,Men -58kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1956376,KORNEEV Lev,Person,SRB,Serbia,0,POINTS,L,,217
2024-08-07T12:00:12+02:00,TKWM58KG--------------8FNL000500--,TKWM58KG,Men -58kg,Men -58kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1932149,YASER ISMAIL Omar,Person,PLE,Palestine,0,POINTS,L,,215
2024-08-07T12:00:12+02:00,TKWM58KG--------------8FNL000500--,TKWM58KG,Men -58kg,Men -58kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1546697,VICENTE YUNTA Adrian,Person,ESP,Spain,2,POINTS,W,,202
2024-08-07T12:29:23+02:00,TKWM58KG--------------8FNL000600--,TKWM58KG,Men -58kg,Men -58kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1956647,WOOLLEY Jack,Person,IRL,Ireland,0,POINTS,L,,207
2024-08-07T12:29:23+02:00,TKWM58KG--------------8FNL000600--,TKWM58KG,Men -58kg,Men -58kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1946883,MAGOMEDOV Gashim,Person,AZE,Azerbaijan,2,POINTS,W,,210
2024-08-07T13:04:37+02:00,TKWM58KG--------------8FNL000700--,TKWM58KG,Men -58kg,Men -58kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1908279,GUZMAN Lucas,Person,ARG,Argentina,1,POINTS,L,,211
2024-08-07T13:04:37+02:00,TKWM58KG--------------8FNL000700--,TKWM58KG,Men -58kg,Men -58kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1572368,SALIM Omar Gergely,Person,HUN,Hungary,2,POINTS,W,,206
2024-08-07T13:24:08+02:00,TKWM58KG--------------8FNL000800--,TKWM58KG,Men -58kg,Men -58kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1929684,DELL AQUILA Vito,Person,ITA,Italy,2,POINTS,W,,203
2024-08-07T13:24:08+02:00,TKWM58KG--------------8FNL000800--,TKWM58KG,Men -58kg,Men -58kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1930255,ABABAKIROV Samirkhon,Person,KAZ,Kazakhstan,1,POINTS,L,,214
2024-08-07T15:03:24+02:00,TKWM58KG--------------QFNL000100--,TKWM58KG,Men -58kg,Men -58kg Quarterfinal,Quarterfinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1893274,RAVET Cyrian,Person,FRA,France,1,POINTS,L,,204
2024-08-07T15:03:24+02:00,TKWM58KG--------------QFNL000100--,TKWM58KG,Men -58kg,Men -58kg Quarterfinal,Quarterfinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1904040,PARK Taejoon,Person,KOR,Korea,2,POINTS,W,,205
2024-08-07T15:29:05+02:00,TKWM58KG--------------QFNL000200--,TKWM58KG,Men -58kg,Men -58kg Quarterfinal,Quarterfinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1946334,LEWIS Bailey,Person,AUS,Australia,0,POINTS,L,,208
2024-08-07T15:29:05+02:00,TKWM58KG--------------QFNL000200--,TKWM58KG,Men -58kg,Men -58kg Quarterfinal,Quarterfinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1947736,JENDOUBI Mohamed Khalil,Person,TUN,Tunisia,2,POINTS,W,,201
2024-08-07T15:59:34+02:00,TKWM58KG--------------QFNL000300--,TKWM58KG,Men -58kg,Men -58kg Quarterfinal,Quarterfinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1546697,VICENTE YUNTA Adrian,Person,ESP,Spain,0,POINTS,L,,202
2024-08-07T15:59:34+02:00,TKWM58KG--------------QFNL000300--,TKWM58KG,Men -58kg,Men -58kg Quarterfinal,Quarterfinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1946883,MAGOMEDOV Gashim,Person,AZE,Azerbaijan,2,POINTS,W,,210
2024-08-07T16:18:13+02:00,TKWM58KG--------------QFNL000400--,TKWM58KG,Men -58kg,Men -58kg Quarterfinal,Quarterfinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1572368,SALIM Omar Gergely,Person,HUN,Hungary,0,POINTS,L,,206
2024-08-07T16:18:13+02:00,TKWM58KG--------------QFNL000400--,TKWM58KG,Men -58kg,Men -58kg Quarterfinal,Quarterfinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1929684,DELL AQUILA Vito,Person,ITA,Italy,2,POINTS,W,,203
2024-08-07T16:47:34+02:00,TKWM58KG--------------SFNL000100--,TKWM58KG,Men -58kg,Men -58kg Semifinal,Semifinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1904040,PARK Taejoon,Person,KOR,Korea,2,POINTS,W,,205
